epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.9264,1.01737,3.51946,1.01558,0.82159,0.25468,0.64964,0.41695,0.92331,3.23513,0.91413,0.000546984,0.000546984,0.000546984
2,187.284,1.05232,2.65312,1.02885,0.6429,0.52483,0.59771,0.3543,1.122,2.91875,1.06256,0.00106626,0.00106626,0.00106626
3,285.418,1.04922,2.51529,1.05773,0.55363,0.48597,0.51871,0.32069,1.15362,3.18599,1.2336,0.00154887,0.00154887,0.00154887
4,380.781,0.98567,2.51466,1.10459,0.55276,0.53008,0.47429,0.34807,1.12021,3.21515,1.22005,0.00150197,0.00150197,0.00150197
5,476.848,1.11547,2.4414,1.14737,0.73399,0.53258,0.66076,0.44917,1.14162,2.79209,1.19429,0.00144696,0.00144696,0.00144696
6,572.613,1.04347,2.55824,1.12423,0.55841,0.64252,0.56687,0.39467,1.13131,2.98393,1.19978,0.00139195,0.00139195,0.00139195
7,668.969,1.04201,2.08597,1.08452,0.73782,0.67449,0.71615,0.45562,1.13772,2.88604,1.15487,0.00133693,0.00133693,0.00133693
8,791.357,1.05816,2.26381,1.11241,0.34634,0.47995,0.36319,0.24325,1.15142,3.69063,1.18068,0.00128192,0.00128192,0.00128192
9,891.132,1.01455,2.01643,1.1099,0.85394,0.53675,0.6046,0.44832,1.22018,2.99322,1.21992,0.00122691,0.00122691,0.00122691
10,984.428,0.99801,1.87547,1.10073,0.65693,0.65469,0.60983,0.46129,1.18963,2.81194,1.26161,0.0011719,0.0011719,0.0011719
11,1078.26,1.01213,1.86078,1.10701,0.80361,0.50125,0.62753,0.44025,1.14652,2.64243,1.18827,0.00111689,0.00111689,0.00111689
12,1172.21,0.95706,1.82557,1.06328,0.59615,0.72624,0.67974,0.48772,1.08911,2.66762,1.20146,0.00106188,0.00106188,0.00106188
13,1266.64,1.04628,1.8521,1.10877,0.72082,0.83068,0.79505,0.59781,0.97563,2.18015,1.16912,0.00100687,0.00100687,0.00100687
14,1360.65,0.95176,1.65912,1.04882,0.72298,0.75188,0.75829,0.55727,0.92537,2.2827,1.10924,0.000951857,0.000951857,0.000951857
15,1455.65,0.96002,1.60699,1.03384,0.72983,0.83083,0.74145,0.56445,0.96936,1.93004,1.07658,0.000896846,0.000896846,0.000896846
16,1549.23,0.85621,1.60268,1.02806,0.8239,0.74777,0.83807,0.62587,1.002,1.79935,1.07556,0.000841835,0.000841835,0.000841835
17,1642.87,0.83656,1.47184,1.00581,0.71651,0.83752,0.87167,0.6235,0.955,1.71831,1.02942,0.000786824,0.000786824,0.000786824
18,1734.87,0.8101,1.53034,0.98528,0.87441,0.87226,0.90449,0.69357,0.84646,1.63935,1.02074,0.000731813,0.000731813,0.000731813
19,1827.1,0.83758,1.44142,0.99912,0.91643,0.75949,0.92428,0.72861,0.82994,1.64084,0.99835,0.000676802,0.000676802,0.000676802
20,1922.5,0.91493,1.55536,1.02549,0.94033,0.79017,0.90175,0.71745,0.80752,1.70016,1.00594,0.000621791,0.000621791,0.000621791
21,2014.21,0.73426,1.52921,0.99833,0.78517,0.85714,0.89196,0.69441,0.81614,1.622,1.01639,0.00056678,0.00056678,0.00056678
22,2106.58,0.75876,1.5525,0.96801,0.8482,0.73559,0.82671,0.62673,0.75572,1.75172,0.99797,0.000511769,0.000511769,0.000511769
23,2198.47,0.75674,1.52026,0.9851,0.82924,0.83083,0.89336,0.71887,0.76185,1.49347,0.98244,0.000456758,0.000456758,0.000456758
24,2290.5,0.68501,1.33654,0.91928,0.93248,0.89753,0.93739,0.74679,0.75717,1.41504,0.95428,0.000401747,0.000401747,0.000401747
25,2382.81,0.69636,1.35142,0.94549,0.99513,0.89288,0.9573,0.78392,0.73759,1.29671,0.95229,0.000346736,0.000346736,0.000346736
26,2475.25,0.64258,1.30452,0.91861,0.96427,0.91529,0.94868,0.78686,0.71826,1.34299,0.96004,0.000291725,0.000291725,0.000291725
27,2567.7,0.66908,1.27146,0.94864,0.95933,0.92127,0.9549,0.78656,0.70409,1.37047,0.96113,0.000236714,0.000236714,0.000236714
28,2659.73,0.63153,1.24758,0.92038,0.9589,0.92857,0.95685,0.79863,0.69087,1.32614,0.95941,0.000181703,0.000181703,0.000181703
29,2752.88,0.61205,1.17236,0.90329,0.96395,0.92395,0.9505,0.79206,0.67686,1.29145,0.94961,0.000126692,0.000126692,0.000126692
30,2846.05,0.61297,1.21402,0.93312,0.95178,0.93876,0.95325,0.8038,0.6656,1.29041,0.94416,7.1681e-05,7.1681e-05,7.1681e-05
